"dtaatualizacao","nomereduzido","nroempresa","categoria_1","categoria_2","categoria_3","categoria_4","categoria_5","categoria_6","seqproduto","desccompleta","seqfornecedor","fornecedor","comprador","status_venda_loja","status_compra_cd","forma_abastecimento","estoque_minimo","estoque_maximo","embalagem_compra","embalagem_transferencia","embalagem_venda","qtdestoque","estoque_disponivel","medvdiageral","data_ult_venda","data_pr_entrada","data_ult_entrada","vda_m_3","vda_m_2","vda_m_1","vda_m_atual","qtdpedido","custo_m_bruto","ult_custo_bruto","ult_custo_liquido","vlr_tot_estoque","status_compra_loja","precovalidnormal","precovalidpromoc","seqequivalente","seqprodutobase","item_equiv","preco_monitor","chave","regional","mesmas_lojas","nomeajustado","cd","tipo","est_equivalente_est_tt","est_equivalente_pedido_tt","est_equivalente_status_compra","est_equivalente_vda_tt","est_equivalente_vda_tt_3m","est_equivalente_vda_tt_4m","mes","dia","ano","nome_mes","chave_cd","comparativo","est_cd","pedido_cd","status","chave_empresa","curva","est_vd_empresa_est_tt","est_vd_empresa_pedido_tt","est_vd_empresa_status_compra","est_vd_empresa_vda_tt","est_vd_empresa_vda_tt_4m","dt_pedido"
"2020-05-02","01_Oba Carol",1.0,FRIOS,BACALHAU SALGADO,MORHUA,LOMBO,TAMANHO 11-15,REFRIGERADO,202886.0,LOMBO BACALHAU MORHUA OBACALHAU,46705.0,"97 - OBA CD",BIRO,ATIVO,ATIVO,Abastecido pelo CD,0.0,0.0,1.0,1.0,1.0,127.454,127.454,11.1433,"2020-05-02 00:00:00","1900-01-01 00:00:00","2020-04-15 00:00:00",31.848,118.864,339.361,2.52,0.0,68.8603,68.8603,68.1704,8776.5206762,INATIVO,149.9,0.0,168851.0,,168851.0,,"2020-05-0201_Oba Carol168851",Campinas,Sim,"01_Oba Carol","97_Oba CD",LOJA,598.357,0.0,ATIVO,17.8837,269.9166666666667,866.3059999999999,5,2,2020,May,"2020-05-0297_Oba CD168851","2020-05-0297_Oba CD168851",925.0,0.0,ATIVO,"2020-05-02168851",A,66561.93399999998,500.0,ATIVO,1132.064178,48133.31599999998,
"2020-02-16","33_Oba Galle",33.0,MERCEARIA,BISCOITOS,DOCE,COOKIES,CONVENCIONAL,CONVENCIONAL,211471.0,COOKIE HO MERBA NOUGATELLI 200G,296166.0,MERBA,IMPORTAÇÃO,ATIVO,ATIVO,Abastecido pelo CD,72.0,72.0,18.0,18.0,1.0,68.0,68.0,3.2002,"2020-02-16 00:00:00","1900-01-01 00:00:00","2020-02-14 00:00:00",0.0,49.0,63.0,74.0,0.0,7.0066,7.0066,7.0066,476.4488,ATIVO,14.99,0.0,211471.0,,211471.0,,"2020-02-1633_Oba Galle211471",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,68.0,0.0,ATIVO,3.2002,186.0,186.0,2,16,2020,February,"2020-02-1697_Oba CD211471","2020-02-1697_Oba CD211471",10692.0,0.0,ATIVO,"2020-02-16211471",B,26950.0,252.0,ATIVO,139.34133,7646.0,"2020-07-02 21:23:17"
"2020-05-22","15_Oba Sant.",15.0,PEIXARIA,FRUTOS DO MAR,CAMARAO,CAMARAO,IN NATURA,AS REFRIGERADO,25291.0,CAMARAO ROSA LIMPO COZIDO 36/40,3127.0,IGLU COMERCIAL E IMPORTADORA,ROMILDO,ATIVO,ATIVO,Abastecido pelo CD,15.0,25.0,1.0,1.0,1.0,25.0,25.0,0.282067,"2020-05-13 00:00:00","2018-11-08 00:00:00","2020-05-22 00:00:00",5.112,8.506,6.47,5.876,0.0,77.7724,77.7724,68.4393,1944.31,ATIVO,169.9,0.0,20954.0,,20954.0,,"2020-05-2215_Oba Sant.20954",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,28.99,0.0,ATIVO,0.300534,11.97,29.874,5,22,2020,May,"2020-05-2297_Oba CD20954","2020-05-2297_Oba CD20954",,,,"2020-05-2220954",C,1707.478000000001,124.0,ATIVO,65.76135799999999,1819.074,
"2020-04-27","33_Oba Galle",33.0,AUTOSSERVICO,IOGURTES,BEBIDA LACTEA & POLPA,MORANGO,CONVENCIONAL,REFRIGERADO,154626.0,IOG NESTLE NINHO LIG 170G MACA BANANA,322.0,M A CONSTANCIO,FABIANO,ATIVO,INATIVO,Negociação direto Loja,48.0,48.0,12.0,12.0,1.0,15.0,15.0,1.9337330000000001,"2020-04-27 00:00:00","2018-05-23 00:00:00","2020-04-13 00:00:00",147.0,153.0,82.0,58.0,36.0,2.18,2.18,2.18,32.7,ATIVO,3.49,0.0,154626.0,,154626.0,,"2020-04-2733_Oba Galle154626",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,15.0,36.0,ATIVO,1.9337330000000001,293.0,440.0,4,27,2020,April,"2020-04-2797_Oba CD154626","2020-04-2797_Oba CD154626",,,,"2020-04-27154626",B,1080.0,1440.0,ATIVO,133.265772,15092.0,"2020-07-06 12:13:34"
"2020-02-08","31_Oba Sousa",31.0,ACOUGUE,BOVINO,PALETA,SHOULDER,IN NATURA,AS REFRIGERADO,135099.0,SHOULDER OBA RVE,41722.0,"27 FRIGORIFICO",MARCOS CAETANO,ATIVO,ATIVO,Abastecido pelo CD,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7292,"2020-01-19 00:00:00","2017-09-22 00:00:00","2020-01-29 00:00:00",44.072,42.718,21.876,0.0,0.0,36.657,36.657,36.657,0.0,ATIVO,54.99,0.0,135099.0,,135099.0,,"2020-02-0831_Oba Sousa135099",Campinas,Sim,"31_Oba Sousa","97_Oba CD",LOJA,0.0,0.0,ATIVO,0.7292,64.59400000000001,108.666,2,8,2020,February,"2020-02-0897_Oba CD135099","2020-02-0897_Oba CD135099",,,,"2020-02-08135099",C,562.4139999999998,0.0,ATIVO,190.305794,9392.568,
"2020-06-06","09_Oba Tatu",9.0,FRIOS,CASTANHAS & FRUTAS SECAS,CASTANHA,CASTANHA DE CAJU,TORRADO & SALGADO,NAO REFRIGERADO,166764.0,CAST CAJU OBA BEM QUERER TOR SALG 250G,46705.0,"97 - OBA CD",PRODUCAO,ATIVO,ATIVO,Abastecido pelo CD,480.0,480.0,12.0,12.0,1.0,434.0,422.0,18.733333000000002,"2020-06-06 00:00:00","2016-05-21 00:00:00","2020-06-06 00:00:00",695.0,677.0,584.0,122.0,12.0,13.8432,13.8432,12.182,6007.9488,ATIVO,29.99,0.0,166764.0,,166764.0,,"2020-06-0609_Oba Tatu166764",SP Capital,Sim,"09_Oba Tatu","97_Oba CD",LOJA,422.0,12.0,ATIVO,18.733333000000002,1383.0,2078.0,6,6,2020,June,"2020-06-0697_Oba CD166764","2020-06-0697_Oba CD166764",600.0,0.0,ATIVO,"2020-06-06166764",A,11820.0,384.0,ATIVO,486.2681400000001,46656.0,"2020-07-02 21:25:16"
"2019-11-29","11_Oba But.",11.0,MERCEARIA,BEBIDAS,SUCO & REFRESCO & XAROPE,"100 FRUTA",INTEGRAL,INTEGRAL,132623.0,SUCO OBA BEM QUERER INT UVA TTO 1L,23596.0,POGGERE,HERNANI.R,ATIVO,ATIVO,Abastecido pelo CD,540.0,540.0,6.0,6.0,1.0,621.0,620.0,20.266666999999998,"2019-11-29 00:00:00","2012-10-29 00:00:00","2019-11-13 00:00:00",752.0,690.0,717.0,568.0,0.0,8.0823,8.0823,8.0823,5019.1083,ATIVO,12.99,0.0,132623.0,,132623.0,,"2019-11-2911_Oba But.132623",SP Capital,Sim,"11_Oba But.","97_Oba CD",LOJA,620.0,0.0,ATIVO,20.266666999999998,1975.0,2727.0,11,29,2019,November,"2019-11-2997_Oba CD132623","2019-11-2997_Oba CD132623",11142.0,15600.0,ATIVO,"2019-11-29132623",A,69492.0,32028.0,ATIVO,656.4002700000001,103380.0,"2020-07-01 20:43:59"
"2020-05-21","15_Oba Sant.",15.0,MERCEARIA,SUPLEMENTOS,SNACKS,WHEY,SEM ACUCAR,SEM ACUCAR,206777.0,PROTEIN BALL BEST WHEY CHOC LEITE 50G,183775.0,ADS,BRUNO LIMA,ATIVO,ATIVO,Abastecido pelo CD,48.0,48.0,24.0,24.0,1.0,164.0,164.0,1.366667,"2020-05-21 00:00:00","1900-01-01 00:00:00","2020-01-21 00:00:00",62.0,20.0,24.0,38.0,0.0,6.6731,6.6731,6.6731,1094.3884,ATIVO,14.99,0.0,206777.0,,206777.0,,"2020-05-2115_Oba Sant.206777",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,164.0,0.0,ATIVO,1.366667,82.0,144.0,5,21,2020,May,"2020-05-2197_Oba CD206777","2020-05-2197_Oba CD206777",0.0,0.0,ATIVO,"2020-05-21206777",B,12688.0,0.0,ATIVO,47.617498,8778.0,
"2020-03-03","01_Oba Carol",1.0,FRIOS,BACALHAU SALGADO,MORHUA,LOMBO,TAMANHO 11-15,REFRIGERADO,202886.0,LOMBO BACALHAU MORHUA OBACALHAU,46705.0,"97_OBA CD",BIRO,ATIVO,INATIVO,Abastecido pelo CD,0.0,0.0,1.0,1.0,1.0,114.06,114.06,2.488769,"2020-03-03 00:00:00","1900-01-01 00:00:00","2020-02-19 00:00:00",0.0,0.0,31.848,0.932,0.0,64.3082,64.3082,64.3078,7334.993292,INATIVO,129.9,0.0,168851.0,,168851.0,,"2020-03-0301_Oba Carol168851",Campinas,Sim,"01_Oba Carol","97_Oba CD",LOJA,362.338,2000.0,ATIVO,4.5868459999999995,20.26,60.78,3,3,2020,March,"2020-03-0397_Oba CD168851","2020-03-0397_Oba CD168851",12500.0,0.0,ATIVO,"2020-03-03168851",A,80213.27,49550.0,ATIVO,285.6970779999999,2793.29,
"2020-02-19","33_Oba Galle",33.0,ADEGA,VINHOS,TINTO,PORTUGAL,BLEND,GARRAFA,147822.0,VHO PT ADEGA MAE PINTA NEGRA 750ML TTO,62141.0,ADEGA,VALERIA,ATIVO,ATIVO,SP - CD/ DF - LOJA,6.0,6.0,6.0,6.0,1.0,156.0,156.0,2.000167,"2020-02-18 00:00:00","2018-05-21 00:00:00","2020-02-13 00:00:00",241.0,245.0,38.0,41.0,0.0,22.908,22.908,15.634,3573.648,ATIVO,39.99,0.0,147822.0,,147822.0,,"2020-02-1933_Oba Galle147822",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,156.0,0.0,ATIVO,2.000167,324.0,565.0,2,19,2020,February,"2020-02-1997_Oba CD147822","2020-02-1997_Oba CD147822",3246.0,0.0,ATIVO,"2020-02-19147822",A,20342.0,0.0,ATIVO,155.007862,32108.0,"2020-07-08 19:15:26"
"2020-03-15","09_Oba Tatu",9.0,ADEGA,VINHOS,TINTO,BRASIL,SHIRAZ,GARRAFA,171769.0,VHO GUASPARI VALE DA PEDRA SYRAH 750ML,76987.0,VINHOS GUASPARI,LUIZ MIRANDA,ATIVO,ATIVO,Abastecido pelo CD,12.0,12.0,6.0,6.0,1.0,35.0,35.0,0.2,"2020-03-15 00:00:00","2016-09-30 00:00:00","2020-02-04 00:00:00",5.0,5.0,3.0,5.0,0.0,65.7183,65.7183,32.552,2300.1405,ATIVO,99.9,0.0,171769.0,,171769.0,,"2020-03-1509_Oba Tatu171769",SP Capital,Sim,"09_Oba Tatu","97_Oba CD",LOJA,35.0,0.0,ATIVO,0.2,13.0,18.0,3,15,2020,March,"2020-03-1597_Oba CD171769","2020-03-1597_Oba CD171769",36.0,0.0,ATIVO,"2020-03-15171769",B,468.0,36.0,ATIVO,11.238108,932.0,
"2020-05-01","15_Oba Sant.",15.0,MERCEARIA,SUPLEMENTOS,SNACKS,WHEY,SEM ACUCAR,SEM ACUCAR,206777.0,PROTEIN BALL BEST WHEY CHOC LEITE 50G,183775.0,ADS,BRUNO LIMA,ATIVO,ATIVO,Abastecido pelo CD,48.0,48.0,24.0,24.0,1.0,202.0,202.0,0.8,"2020-04-29 00:00:00","1900-01-01 00:00:00","2020-01-21 00:00:00",62.0,20.0,24.0,0.0,0.0,6.6731,6.6731,6.6731,1347.9662,ATIVO,14.99,0.0,206777.0,,206777.0,,"2020-05-0115_Oba Sant.206777",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,202.0,0.0,ATIVO,0.8,44.0,106.0,5,1,2020,May,"2020-05-0197_Oba CD206777","2020-05-0197_Oba CD206777",168.0,0.0,ATIVO,"2020-05-01206777",B,13346.0,96.0,ATIVO,56.617,7804.0,
"2020-01-02","33_Oba Galle",33.0,AUTOSSERVICO,IOGURTES,BEBIDA LACTEA & POLPA,MORANGO,CONVENCIONAL,REFRIGERADO,154626.0,IOG NESTLE NINHO LIG 170G MACA BANANA,322.0,M A CONSTANCIO,FABIANO,ATIVO,INATIVO,Negociação direto Loja,60.0,60.0,12.0,12.0,1.0,39.0,39.0,2.200467,"2020-01-02 00:00:00","2018-05-23 00:00:00","2019-12-26 00:00:00",136.0,116.0,78.0,0.0,12.0,2.18,2.18,2.18,85.02,ATIVO,3.49,0.0,154626.0,,154626.0,,"2020-01-0233_Oba Galle154626",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,39.0,12.0,ATIVO,2.200467,194.0,330.0,1,2,2020,January,"2020-01-0297_Oba CD154626","2020-01-0297_Oba CD154626",,,,"2020-01-02154626",B,1126.0,1104.0,ATIVO,104.260304,12018.0,"2020-07-06 12:13:34"
"2020-02-03","33_Oba Galle",33.0,AUTOSSERVICO,IOGURTES,BEBIDA LACTEA & POLPA,MORANGO,CONVENCIONAL,REFRIGERADO,154626.0,IOG NESTLE NINHO LIG 170G MACA BANANA,322.0,M A CONSTANCIO,FABIANO,ATIVO,INATIVO,Negociação direto Loja,60.0,60.0,12.0,12.0,1.0,19.0,19.0,4.933467,"2020-02-03 00:00:00","2018-05-23 00:00:00","2020-01-31 00:00:00",116.0,78.0,147.0,15.0,36.0,2.18,2.18,2.18,41.42,ATIVO,3.49,0.0,154626.0,,154626.0,,"2020-02-0333_Oba Galle154626",Campinas,N¿o,"33_Oba Galle","97_Oba CD",LOJA,19.0,36.0,ATIVO,4.933467,240.0,356.0,2,3,2020,February,"2020-02-0397_Oba CD154626","2020-02-0397_Oba CD154626",,,,"2020-02-03154626",B,814.0,1272.0,ATIVO,133.632194,11560.0,"2020-07-06 12:13:34"
"2020-06-03","15_Oba Sant.",15.0,MERCEARIA,SUPLEMENTOS,SNACKS,WHEY,SEM ACUCAR,SEM ACUCAR,206777.0,PROTEIN BALL BEST WHEY CHOC LEITE 50G,183775.0,ADS,BRUNO LIMA,ATIVO,ATIVO,Abastecido pelo CD,48.0,48.0,24.0,24.0,1.0,148.0,148.0,1.566667,"2020-06-03 00:00:00","1900-01-01 00:00:00","2020-01-21 00:00:00",20.0,24.0,51.0,1.0,0.0,6.6731,6.6731,6.6731,987.6188,ATIVO,14.99,0.0,206777.0,,206777.0,,"2020-06-0315_Oba Sant.206777",SP Capital,Sim,"15_Oba Sant.","97_Oba CD",LOJA,148.0,0.0,ATIVO,1.566667,76.0,96.0,6,3,2020,June,"2020-06-0397_Oba CD206777","2020-06-0397_Oba CD206777",0.0,0.0,ATIVO,"2020-06-03206777",B,12086.0,0.0,ATIVO,50.616006,5898.0,
